0	2.00001387780333E-01	-1.00975225370128E-03	1.38778133297742E-06	-1.33761000611791E-09
0.001	1.99858585042907E-01	-1.00896721175731E-03	1.38664635557647E-06	-1.33647867257936E-09
0.002	1.99715893326687E-01	-1.00818281183991E-03	1.38551233811526E-06	-1.33534831908976E-09
0.003	1.99573312540880E-01	-1.00739905340606E-03	1.38437927976223E-06	-1.33421894478475E-09
0.004	1.99430842594767E-01	-1.00661593591325E-03	1.38324717968653E-06	-1.33309054880075E-09
0.005	1.99288483397707E-01	-1.00583345881939E-03	1.38211603705807E-06	-1.33196313027496E-09
0.006	1.99146234859136E-01	-1.00505162158288E-03	1.38098585104747E-06	-1.33083668834534E-09
0.007	1.99004096888566E-01	-1.00427042366261E-03	1.37985662082611E-06	-1.32971122215063E-09
0.008	1.98862069395586E-01	-1.00348986451792E-03	1.37872834556607E-06	-1.32858673083033E-09
0.009	1.98720152289860E-01	-1.00270994360860E-03	1.37760102444017E-06	-1.32746321352473E-09
0.01	1.98578345481130E-01	-1.00193066039495E-03	1.37647465662196E-06	-1.32634066937486E-09
0.011	1.98436648879215E-01	-1.00115201433770E-03	1.37534924128574E-06	-1.32521909752254E-09
0.012	1.98295062394008E-01	-1.00037400489806E-03	1.37422477760649E-06	-1.32409849711035E-09
0.013	1.98153585935479E-01	-9.99596631537720E-04	1.37310126475998E-06	-1.32297886728163E-09
0.014	1.98012219413676E-01	-9.98819893718817E-04	1.37197870192265E-06	-1.32186020718050E-09
0.015	1.97870962738720E-01	-9.98043790903962E-04	1.37085708827169E-06	-1.32074251595185E-09
0.016	1.97729815820809E-01	-9.97268322556234E-04	1.36973642298503E-06	-1.31962579274130E-09
0.017	1.97588778570219E-01	-9.96493488139171E-04	1.36861670524129E-06	-1.31851003669527E-09
0.018	1.97447850897300E-01	-9.95719287116779E-04	1.36749793421986E-06	-1.31739524696093E-09
0.019	1.97307032712477E-01	-9.94945718953529E-04	1.36638010910080E-06	-1.31628142268621E-09
0.02	1.97166323926253E-01	-9.94172783114354E-04	1.36526322906494E-06	-1.31516856301980E-09
0.021	1.97025724449204E-01	-9.93400479064650E-04	1.36414729329381E-06	-1.31405666711117E-09
0.022	1.96885234191985E-01	-9.92628806270277E-04	1.36303230096967E-06	-1.31294573411052E-09
0.023	1.96744853065324E-01	-9.91857764197559E-04	1.36191825127548E-06	-1.31183576316884E-09
0.024	1.96604580980024E-01	-9.91087352313279E-04	1.36080514339494E-06	-1.31072675343786E-09
0.025	1.96464417846966E-01	-9.90317570084685E-04	1.35969297651248E-06	-1.30961870407008E-09
0.026	1.96324363577103E-01	-9.89548416979483E-04	1.35858174981323E-06	-1.30851161421874E-09
0.027	1.96184418081467E-01	-9.88779892465843E-04	1.35747146248304E-06	-1.30740548303786E-09
0.028	1.96044581271162E-01	-9.88011996012393E-04	1.35636211370848E-06	-1.30630030968219E-09
0.029	1.95904853057370E-01	-9.87244727088224E-04	1.35525370267684E-06	-1.30519609330727E-09
0.03	1.95765233351344E-01	-9.86478085162883E-04	1.35414622857613E-06	-1.30409283306937E-09
0.031	1.95625722064417E-01	-9.85712069706379E-04	1.35303969059506E-06	-1.30299052812551E-09
0.032	1.95486319107994E-01	-9.84946680189181E-04	1.35193408792308E-06	-1.30188917763348E-09
0.033	1.95347024393555E-01	-9.84181916082213E-04	1.35082941975033E-06	-1.30078878075183E-09
0.034	1.95207837832654E-01	-9.83417776856858E-04	1.34972568526769E-06	-1.29968933663983E-09
0.035	1.95068759336924E-01	-9.82654261984961E-04	1.34862288366672E-06	-1.29859084445753E-09
0.036	1.94929788818067E-01	-9.81891370938817E-04	1.34752101413972E-06	-1.29749330336572E-09
0.037	1.94790926187863E-01	-9.81129103191185E-04	1.34642007587970E-06	-1.29639671252595E-09
0.038	1.94652171358166E-01	-9.80367458215274E-04	1.34532006808036E-06	-1.29530107110050E-09
0.039	1.94513524240904E-01	-9.79606435484756E-04	1.34422098993613E-06	-1.29420637825242E-09
0.04	1.94374984748081E-01	-9.78846034473752E-04	1.34312284064215E-06	-1.29311263314549E-09
0.041	1.94236552791773E-01	-9.78086254656842E-04	1.34202561939427E-06	-1.29201983494425E-09
0.042	1.94098228284131E-01	-9.77327095509062E-04	1.34092932538903E-06	-1.29092798281399E-09
0.043	1.93960011137382E-01	-9.76568556505899E-04	1.33983395782370E-06	-1.28983707592073E-09
0.044	1.93821901263826E-01	-9.75810637123295E-04	1.33873951589625E-06	-1.28874711343125E-09
0.045	1.93683898575836E-01	-9.75053336837648E-04	1.33764599880535E-06	-1.28765809451307E-09
0.046	1.93546002985860E-01	-9.74296655125808E-04	1.33655340575039E-06	-1.28657001833445E-09
0.047	1.93408214406420E-01	-9.73540591465076E-04	1.33546173593146E-06	-1.28548288406440E-09
0.048	1.93270532750112E-01	-9.72785145333208E-04	1.33437098854935E-06	-1.28439669087268E-09
0.049	1.93132957929607E-01	-9.72030316208411E-04	1.33328116280556E-06	-1.28331143792977E-09
0.05	1.92995489857647E-01	-9.71276103569343E-04	1.33219225790229E-06	-1.28222712440691E-09
0.051	1.92858128447050E-01	-9.70522506895116E-04	1.33110427304245E-06	-1.28114374947607E-09
0.052	1.92720873610707E-01	-9.69769525665290E-04	1.33001720742964E-06	-1.28006131230997E-09
0.053	1.92583725261582E-01	-9.69017159359876E-04	1.32893106026818E-06	-1.27897981208207E-09
0.054	1.92446683312714E-01	-9.68265407459336E-04	1.32784583076307E-06	-1.27789924796655E-09
0.055	1.92309747677214E-01	-9.67514269444581E-04	1.32676151812003E-06	-1.27681961913835E-09
